id,name,team,league,city,lat,lon,country_code,league_code,league_pack,short_code,competition_id,season_id,membership_status,secondary_competition_ids
tr-beyoglu-yeni-carsi,"Maltepe Hasan Polat Stadium, Istanbul",Beyoğlu Yeni Çarşı,2. Lig Beyaz Grup,Beyoğlu Yeni Çarşı,40.9204393,29.1313521,tr,tr-2-lig-beyaz-grup,turkey_top_3,BYC,tr-2-lig-beyaz-grup,2025-26,active,
tr-bucaspor-1928,Yeni Buca,Bucaspor 1928,2. Lig Beyaz Grup,Bucaspor 1928,38.3622044,27.2270873,tr,tr-2-lig-beyaz-grup,turkey_top_3,BUC,tr-2-lig-beyaz-grup,2025-26,active,
tr-elazigspor,Elazığ Atatürk Stadium,Elazığspor,2. Lig Beyaz Grup,Elazığ,38.6240127,39.107531,tr,tr-2-lig-beyaz-grup,turkey_top_3,ELA,tr-2-lig-beyaz-grup,2025-26,active,
tr-erbaaspor,19 Mayıs Stadium,Erbaaspor,2. Lig Beyaz Grup,Erbaa,39.940422,32.8464885,tr,tr-2-lig-beyaz-grup,turkey_top_3,ERB,tr-2-lig-beyaz-grup,2025-26,active,
tr-i-negolspor,"İnegöl İlçe Stadium, Bursa",İnegölspor,2. Lig Beyaz Grup,İnegöl,40.0810929,29.5011569,tr,tr-2-lig-beyaz-grup,turkey_top_3,INE,tr-2-lig-beyaz-grup,2025-26,active,
tr-i-skenderunspor,İskenderun 5 Temmuz Stadium,İskenderunspor,2. Lig Beyaz Grup,İskenderun,36.5851,36.1553,tr,tr-2-lig-beyaz-grup,turkey_top_3,ISK,tr-2-lig-beyaz-grup,2025-26,active,
tr-karacabey-belediyespor,Mustafa Fehmi Gerçeker Stadyumu,Karacabey Belediyespor,2. Lig Beyaz Grup,Karacabey,40.2133,28.3614,tr,tr-2-lig-beyaz-grup,turkey_top_3,KBC,tr-2-lig-beyaz-grup,2025-26,active,
tr-karaman,Yeni Karaman Stadyumu,Karaman,2. Lig Beyaz Grup,Karaman,37.18194444,33.21805556,tr,tr-2-lig-beyaz-grup,turkey_top_3,KRM,tr-2-lig-beyaz-grup,2025-26,active,
tr-kastamonuspor,Kastamonu Gazi Stadium,Kastamonuspor,2. Lig Beyaz Grup,Kastamonu,41.37638889,33.77638889,tr,tr-2-lig-beyaz-grup,turkey_top_3,KAS2,tr-2-lig-beyaz-grup,2025-26,active,
tr-kepezspor,Kepez Hasan Doğan Stadium,Kepezspor,2. Lig Beyaz Grup,Antalya,36.88694444,30.70333333,tr,tr-2-lig-beyaz-grup,turkey_top_3,KEP,tr-2-lig-beyaz-grup,2025-26,active,
tr-mke-ankaragucu,Eryaman Stadium,MKE Ankaragücü,2. Lig Beyaz Grup,Ankara,39.979993,32.6132207,tr,tr-2-lig-beyaz-grup,turkey_top_3,MKA,tr-2-lig-beyaz-grup,2025-26,active,
tr-muglaspor,"Muğla Atatürk Stadium, , Muğla",Muğlaspor,2. Lig Beyaz Grup,Muğla,37.21666667,28.36666667,tr,tr-2-lig-beyaz-grup,turkey_top_3,MUG,tr-2-lig-beyaz-grup,2025-26,active,
tr-sanliurfaspor,"Şanlıurfa 11 Nisan Stadium, Urfa",Şanlıurfaspor,2. Lig Beyaz Grup,Şanlıurfa,37.1454,38.784,tr,tr-2-lig-beyaz-grup,turkey_top_3,SAN,tr-2-lig-beyaz-grup,2025-26,active,
tr-1461-trabzon,"Yavuz Selim Stadium, Ortahisar",1461 Trabzon,2. Lig Kırmızı Grup,1461 Trabzon,41.0054605,39.7301463,tr,tr-2-lig-kirmizi-grup,turkey_top_3,146,tr-2-lig-kirmizi-grup,2025-26,active,
tr-68-aksaray-belediyespor,"Dağılgan Stadium, Aksaray",68 Aksaray Belediyespor,2. Lig Kırmızı Grup,68 Aksaray,38.3528738,34.0388284,tr,tr-2-lig-kirmizi-grup,turkey_top_3,AKS,tr-2-lig-kirmizi-grup,2025-26,active,
tr-adanaspor,Adana Stadium,Adanaspor,2. Lig Kırmızı Grup,Adana,37.0325,35.2625,tr,tr-2-lig-kirmizi-grup,turkey_top_3,ADS,tr-2-lig-kirmizi-grup,2025-26,active,
tr-aliaga,Bingöl Şehir Stadium,Aliağa,2. Lig Kırmızı Grup,Bingöl,38.88611111,40.50166667,tr,tr-2-lig-kirmizi-grup,turkey_top_3,ALI,tr-2-lig-kirmizi-grup,2025-26,active,
tr-ankara-demirspor,"TCDD Ankara Demirspor Stadium, Ankara",Ankara Demirspor,2. Lig Kırmızı Grup,Ankara,39.92888889,32.85472222,tr,tr-2-lig-kirmizi-grup,turkey_top_3,DEM,tr-2-lig-kirmizi-grup,2025-26,active,
tr-arnavutkoy-belediyespor,Bingöl Şehir Stadium,Arnavutköy Belediyespor,2. Lig Kırmızı Grup,Bingöl,38.88611111,40.50166667,tr,tr-2-lig-kirmizi-grup,turkey_top_3,ARN,tr-2-lig-kirmizi-grup,2025-26,active,
tr-bursaspor,Centennial Atatürk Stadium,Bursaspor,2. Lig Kırmızı Grup,Bursa,40.19722222,29.06222222,tr,tr-2-lig-kirmizi-grup,turkey_top_3,BUR,tr-2-lig-kirmizi-grup,2025-26,active,
tr-fethiyespor,"Fethiye İlçe Stadium,, Fethiye, Muğla",Fethiyespor,2. Lig Kırmızı Grup,Fethiye,36.65138889,29.12305556,tr,tr-2-lig-kirmizi-grup,turkey_top_3,FET,tr-2-lig-kirmizi-grup,2025-26,active,
tr-guzide-gebzespor,"Alaettin Kurt Stadium, Gebze",Güzide Gebzespor,2. Lig Kırmızı Grup,Güzide Gebze,40.7710028,29.4363104,tr,tr-2-lig-kirmizi-grup,turkey_top_3,GEB,tr-2-lig-kirmizi-grup,2025-26,active,
tr-isparta-32,Bingöl Şehir Stadium,Isparta 32,2. Lig Kırmızı Grup,Bingöl,38.88611111,40.50166667,tr,tr-2-lig-kirmizi-grup,turkey_top_3,ISP,tr-2-lig-kirmizi-grup,2025-26,active,
tr-kahramanmaras-i-stiklalspor,Merkez 1 Nolu Sentetik Çim Saha,Kahramanmaraş İstiklalspor,2. Lig Kırmızı Grup,Kahramanmaraş,41.767335,-72.660853,tr,tr-2-lig-kirmizi-grup,turkey_top_3,KMI,tr-2-lig-kirmizi-grup,2025-26,active,
tr-kirklarelispor,"Kırklareli Atatürk Stadium, Kırklareli",Kırklarelispor,2. Lig Kırmızı Grup,Kırklareli,41.73472222,27.22527778,tr,tr-2-lig-kirmizi-grup,turkey_top_3,KIR,tr-2-lig-kirmizi-grup,2025-26,active,
tr-mardin-1969,21 Kasım Şehir Stadı,Mardin 1969,2. Lig Kırmızı Grup,Mardin,37.3132581,40.7354383,tr,tr-2-lig-kirmizi-grup,turkey_top_3,MAR,tr-2-lig-kirmizi-grup,2025-26,active,
tr-menemen,"Menemen İlçe Stadium, İzmir",Menemen,2. Lig Kırmızı Grup,Menemen,38.6,27.06666667,tr,tr-2-lig-kirmizi-grup,turkey_top_3,MEN,tr-2-lig-kirmizi-grup,2025-26,active,
tr-musspor,Muş Şehir Stadı,Muşspor,2. Lig Kırmızı Grup,Muş,38.73333333,41.49111111,tr,tr-2-lig-kirmizi-grup,turkey_top_3,MUS,tr-2-lig-kirmizi-grup,2025-26,active,
tr-somaspor,Soma Atatürk Stadium,Somaspor,2. Lig Kırmızı Grup,Soma,39.1987193,27.6241754,tr,tr-2-lig-kirmizi-grup,turkey_top_3,SOM,tr-2-lig-kirmizi-grup,2025-26,active,
tr-yeni-malatyaspor,New Malatya Stadium,Yeni Malatyaspor,2. Lig Kırmızı Grup,Yeni Malatya,38.4332606,38.3420745,tr,tr-2-lig-kirmizi-grup,turkey_top_3,YEN,tr-2-lig-kirmizi-grup,2025-26,active,
tr-yeni-mersin-i-dmanyurdu,"Mersin Arena, Mersin, Turkey",Yeni Mersin İdmanyurdu,2. Lig Kırmızı Grup,Yeni Mersin,36.3645821,33.9429862,tr,tr-2-lig-kirmizi-grup,turkey_top_3,YMI,tr-2-lig-kirmizi-grup,2025-26,active,
